cpu,alvo,pods,Tempo(s)
0,0.5,1,292
2.24,0.5,1,301
2.48,0.5,4,316
1.34,0.5,5,331
0.6,0.5,5,346
0.61,0.5,5,361
0.52,0.5,7,376
0.43,0.5,7,391
0.39,0.5,7,406
0.4,0.5,7,421
0.43,0.5,7,436
0.41,0.5,7,451
0.4,0.5,7,466
0.37,0.5,7,481
0.38,0.5,7,541
0.42,0.5,7,556
0.39,0.5,7,571
0.4,0.5,7,586
0.41,0.5,7,600
0.37,0.5,7,600
0.45,0.5,7,600
0.36,0.5,7,660
0.39,0.5,7,660
0.19,0.5,7,660
0,0.5,7,660
0,0.5,7,900
0,0.5,6,960
0,0.5,6,960
0,0.5,3,960
0,0.5,1,960
