cpu,alvo,pods,Tempo(s)
0,0.5,1,242
1.05,0.5,1,255
1.05,0.5,3,270
1.02,0.5,3,315
0.95,0.5,3,376
0.95,0.5,6,391
0.52,0.5,6,436
0.44,0.5,6,496
0.44,0.5,6,515
0,0.5,6,556
0,0.5,6,780
0,0.5,6,840
0,0.5,1,840
